ID,acc,Confidence,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_5,1,-1.5,1.23193807280586,0,1.23193807280586,BD,F,U,2,Inference,1,1
Participant_5,0,-2,1.2378288022004,1.2378288022004,0,CE,F,U,2,Inference,1,1
Participant_5,1,-2,1.70168390857685,0,1.70168390857685,BE,F,U,2,Inference,2,1
Participant_5,0,-2,3.10033765407388,3.10033765407388,0,AF,F,U,2,Anchor,3,1
Participant_5,1,1,1.41649835278179,0,1.41649835278179,AB,O,C,2,Premise,0,1
Participant_5,1,1,1.82644991122459,0,1.82644991122459,BC,O,C,2,Premise,0,1
Participant_5,1,1,1.7113273191909,0,1.7113273191909,CD,O,C,2,Premise,0,1
Participant_5,1,1,1.43772899411931,0,1.43772899411931,DE,O,C,2,Premise,0,1
Participant_5,1,1,1.51109819678356,0,1.51109819678356,EF,O,C,2,Premise,0,1
Participant_5,0,0.5,1.9694525693526,1.9694525693526,0,BD,O,C,2,Inference,1,1
Participant_5,1,1,1.83495848599603,0,1.83495848599603,CE,O,C,2,Inference,1,1
Participant_5,0,1,1.48490306557051,1.48490306557051,0,BE,O,C,2,Inference,2,1
Participant_5,1,-1,1.57127913420982,0,1.57127913420982,AF,O,C,2,Anchor,3,1
Participant_5,1,1,2.09704373082093,0,2.09704373082093,AB,S,D,2,Premise,0,2
Participant_5,0.5,-1,1.14395429867511,1.14107987725401,1.14682872009621,BC,S,D,2,Premise,0,2
Participant_5,0.5,-2,1.25675051571795,1.11579738702972,1.39770364440619,CD,S,D,2,Premise,0,2
Participant_5,1,0,1.4119146217555,0,1.4119146217555,DE,S,D,2,Premise,0,2
Participant_5,0.5,-0.5,1.51766295144557,1.15103451460959,1.88429138828155,EF,S,D,2,Premise,0,2
Participant_5,0.5,-2,1.29751069922099,1.14632993626651,1.44869146217547,BD,S,D,2,Inference,1,2
Participant_5,1,-1.5,0.893542750700362,0,0.893542750700362,CE,S,D,2,Inference,1,2
Participant_5,0.5,-1.5,1.04555866867827,1.0779036710901,1.01321366626644,BE,S,D,2,Inference,2,2
Participant_5,1,1,1.62274059135643,0,1.62274059135643,AF,S,D,2,Anchor,3,2
Participant_5,0,-2,1.16517749930722,1.16517749930722,0,AB,F,U,2,Premise,0,2
